run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,247.34638538829046,19,5,3.6889288425445557,"add(add(v, sub(v, add(u, w))), mul(mul(y, add(y, add(v, w))), sub(v, w)))",-w + 2*x4 - x5 + y*(x4 - x5)*(x4 + x5 + y)
2,43,278.12850842368965,25,5,5.48559308052063,"sub(sub(mul(y, mul(y, v)), sub(mul(w, mul(w, y)), z)), sub(mul(w, mul(y, y)), mul(y, mul(v, v))))",x4**2*y + x4*y**2 - x5**2*y - x5*y**2 + z
3,44,73.42820430708767,46,7,7.679508447647095,"add(sub(mul(neg(mul(add(protectedDiv(-0.3329, -0.0715), protectedDiv(-0.3329, -0.0715)), y)), sub(-0.0931, sub(v, w))), add(y, -0.0715)), sub(protectedDiv(v, sub(neg(w), neg(w))), mul(sub(sub(u, z), -0.3329), add(add(y, sub(-0.0931, sub(v, w))), add(z, z)))))",zoo*x4 + 9.31188811188811*y*(x4 - x5 + 0.0931) - y - (w - z + 0.3329)*(-x4 + x5 + y + 2*z - 0.0931) + 0.0715
4,45,188.05426617832697,44,9,6.4398627281188965,"mul(add(add(mul(neg(v), v), mul(protectedSqrt(add(mul(y, protectedDiv(w, y)), mul(mul(u, protectedDiv(w, y)), y))), mul(neg(v), protectedDiv(w, neg(v))))), add(add(mul(neg(v), y), mul(w, y)), mul(protectedSin(z), w))), neg(y))",y*(x4**2 + x4*y - x5*y - x5*sqrt(x5*(w + 1)) - x5*protectedSin(z))
5,46,180.9109420885535,24,7,4.609680891036987,"add(mul(z, z), neg(mul(y, add(mul(w, y), sub(sub(u, mul(y, v)), sub(mul(v, v), mul(w, w)))))))",-y*(w - x4**2 - x4*y + x5**2 + x5*y) + z**2
6,47,206.4431806205809,22,6,4.297123908996582,"mul(sub(sub(v, sub(w, v)), w), add(add(add(protectedSin(add(y, x)), y), add(y, add(y, y))), y))",2*(x4 - x5)*(5*y + protectedSin(x + y))
7,48,263.4990724827506,17,4,4.409818887710571,"mul(add(add(mul(y, y), v), add(mul(y, y), add(x, w))), sub(v, w))",(x4 - x5)*(x + x4 + x5 + 2*y**2)
8,49,230.68859562991526,39,10,4.7017998695373535,"mul(sub(v, w), mul(add(add(add(v, add(w, y)), protectedSin(add(add(v, add(w, y)), protectedSin(protectedSqrt(add(v, add(y, w))))))), protectedSin(protectedSqrt(add(protectedSin(mul(protectedSqrt(z), protectedSqrt(v))), add(y, v))))), y))",y*(x4 - x5)*(x4 + x5 + y + protectedSin(sqrt(x4 + y + protectedSin(sqrt(x4)*sqrt(z)))) + protectedSin(x4 + x5 + y + protectedSin(sqrt(x4 + x5 + y))))
9,50,205.03915892696844,17,5,4.658865928649902,"mul(sub(v, w), add(add(0.3114, add(protectedDiv(y, 0.3114), protectedDiv(y, 0.3114))), protectedDiv(y, 0.3114)))",(x4 - x5)*(9.63391136801541*y + 0.3114)
10,51,205.67629158444913,23,5,5.526843309402466,"sub(mul(v, add(mul(v, y), mul(y, y))), mul(w, add(add(mul(w, y), mul(y, y)), sub(u, z))))",x4*y*(x4 + y) - x5*(w + x5*y + y**2 - z)
