run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,2.694177011139122e-28,9,3,6.492732763290405,"mul(protectedDiv(mul(x, x), y), mul(y, y))",x**2/y*y**2
2,43,0.0,7,3,4.600533962249756,"mul(neg(neg(y)), mul(x, x))",-(-y)*x**2
3,44,0.0,9,3,9.543572902679443,"add(sub(x, x), mul(mul(x, x), y))",x-x+x**2*y
4,45,8.320510479670646e-28,5,2,7.395278215408325,"mul(mul(y, x), x)",y*x*x
5,46,0.0,5,2,12.153299331665039,"mul(mul(x, x), y)",x**2*y
6,47,0.0,5,2,3.32212233543396,"mul(mul(x, x), y)",x**2*y
7,48,0.0,33,9,11.045600652694702,"sub(mul(y, mul(x, x)), protectedSqrt(protectedDiv(sub(y, y), sub(add(mul(y, protectedSqrt(y)), y), protectedDiv(mul(x, mul(y, x)), sub(mul(x, mul(protectedSqrt(-0.93), neg(x))), x))))))",y*x**2-sqrt((y-y)/(y*sqrt(y)+y-x*(y*x)/(x*(sqrt(-0.93)*-x)-x)))
8,49,7.634596005641406e-28,31,7,8.240275859832764,"add(protectedDiv(sub(x, x), add(x, mul(add(mul(mul(x, y), sub(x, 0.3361)), y), x))), add(mul(mul(x, y), sub(x, 0.3361)), mul(mul(x, y), 0.3361)))",(x-x)/(x+(x*y*(x-0.3361)+y)*x)+(x*y*(x-0.3361)+x*y*0.3361)
9,50,8.320510479670646e-28,7,4,10.19434404373169,"neg(neg(mul(mul(x, y), x)))",-(-(x*y*x))
10,51,0.0,5,2,10.254056692123413,"mul(y, mul(x, x))",y*x**2
11,52,0.0,5,2,6.152129650115967,"mul(y, mul(x, x))",y*x**2
12,53,8.31577762238811e-28,22,5,6.2881715297698975,"add(protectedDiv(add(sub(x, add(y, x)), y), sub(add(protectedSqrt(y), mul(-0.8329, 0.6321)), x)), mul(x, mul(x, y)))",(x-(y+x)+y)/(sqrt(y)+-0.8329*0.6321-x)+x*(x*y)
13,54,0.0,5,2,9.88795804977417,"mul(y, mul(x, x))",y*x**2
14,55,0.0,16,5,7.543245315551758,"neg(add(neg(sub(y, y)), mul(neg(y), add(sub(y, y), mul(x, x)))))",-(-(y-y)+-y*(y-y+x**2))
15,56,0.0,5,2,3.528660297393799,"mul(mul(x, x), y)",x**2*y
16,57,0.0,17,6,9.99994158744812,"mul(neg(neg(y)), sub(mul(x, x), mul(sub(y, neg(neg(y))), protectedDiv(0.2825, y))))",-(-y)*(x**2-(y--(-y))*(0.2825/y))
17,58,0.0,11,4,8.773932456970215,"add(mul(mul(x, x), y), neg(neg(sub(y, y))))",x**2*y+-(-(y-y))
18,59,0.0,5,2,5.599067687988281,"mul(mul(x, x), y)",x**2*y
19,60,0.0,5,2,3.890753984451294,"mul(mul(x, x), y)",x**2*y
20,61,0.0,25,6,11.045305728912354,"add(mul(protectedDiv(protectedDiv(sub(x, x), x), x), protectedDiv(mul(protectedDiv(protectedSqrt(y), protectedSqrt(x)), y), mul(y, y))), mul(mul(x, x), y))",(x-x)/x/x*(sqrt(y)/sqrt(x)*y/y**2)+x**2*y
21,62,0.0,11,3,5.748486042022705,"add(mul(mul(x, x), y), sub(neg(x), neg(x)))",x**2*y+(-x--x)
22,63,8.320510479670646e-28,11,3,7.696318626403809,"add(mul(0.5551, sub(0.5551, 0.5551)), mul(mul(y, x), x))",0.5551*(0.5551-0.5551)+y*x*x
23,64,0.0,13,4,8.200227975845337,"add(mul(mul(x, x), y), mul(protectedDiv(sub(x, x), x), x))",x**2*y+(x-x)/x*x
24,65,0.0,5,2,3.4360909461975098,"mul(y, mul(x, x))",y*x**2
25,66,8.320510479670646e-28,15,5,7.698842763900757,"neg(add(protectedSqrt(sub(x, x)), mul(sub(sub(x, x), mul(x, y)), x)))",-(sqrt(x-x)+(x-x-x*y)*x)
26,67,0.0,7,3,3.675597906112671,"mul(y, mul(neg(x), neg(x)))",y*(-x)**2
27,68,8.320510479670646e-28,11,5,7.620137929916382,"sub(neg(neg(mul(mul(x, y), x))), sub(y, y))",-(-(x*y*x))-(y-y)
28,69,0.0,18,5,7.879807949066162,"sub(mul(y, mul(x, x)), mul(mul(neg(sub(y, y)), protectedDiv(0.8053, protectedSqrt(x))), neg(0.1941)))",y*x**2--(y-y)*(0.8053/sqrt(x))*-0.1941
29,70,0.0,7,4,3.619900703430176,"neg(mul(neg(mul(x, x)), y))",-(-(x**2)*y)
30,71,0.0,25,6,8.767505168914795,"add(neg(mul(sub(sub(y, y), mul(x, x)), sub(0.0804, sub(0.0804, y)))), neg(neg(mul(mul(sub(y, y), -0.4822), neg(0.606)))))",-((y-y-x**2)*(0.0804-(0.0804-y)))+-(-((y-y)*-0.4822*-0.606))
