run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,894.4591752185553,33,5,1.7059359550476074,"add(protectedDiv(mul(mul(add(x, y), sub(x, -0.8786)), protectedSqrt(mul(-0.1874, x))), mul(0.2859, protectedSqrt(protectedDiv(y, -0.1553)))), protectedSin(add(protectedSin(sub(-0.4781, x)), mul(protectedDiv(0.4585, 0.4756), protectedDiv(x, x)))))",(0.596700450571512*sqrt(-x)*(x + 0.8786)*(x + y) - sqrt(-y)*sin(sin(x + 0.4781) - 0.964045416316232))/sqrt(-y)
2,43,135.18205233729833,13,5,1.7370285987854004,"mul(x, protectedDiv(add(add(protectedSin(0.1789), 0.7551), add(x, x)), protectedSqrt(y)))",x*(2*x + 0.933047237269126)/sqrt(y)
3,44,243.14262600054602,18,6,1.8177571296691895,"add(mul(x, x), mul(protectedDiv(add(-0.4384, x), y), protectedSqrt(add(x, sub(x, mul(x, -0.8443))))))",(sqrt(x)*(1.6865052623695*x - 0.739363907022787) + x**2*y)/y
4,45,235.99575585478132,8,3,1.6921496391296387,"protectedDiv(mul(x, add(x, x)), protectedSqrt(y))",2*x**2/sqrt(y)
5,46,130.90652392279029,10,4,1.8137032985687256,"protectedDiv(add(mul(x, add(x, x)), x), protectedSqrt(y))",x*(2*x + 1)/sqrt(y)
6,47,235.99575585478127,10,4,1.7729575634002686,"mul(protectedDiv(mul(x, protectedSqrt(y)), y), add(x, x))",2*x**2/sqrt(y)
7,48,104.01257552722413,32,9,2.5255799293518066,"sub(add(sub(y, neg(mul(x, protectedDiv(add(x, add(x, protectedSqrt(-0.0348))), protectedSqrt(y))))), protectedSqrt(mul(x, protectedDiv(add(protectedDiv(protectedSqrt(x), y), sub(x, neg(y))), protectedSqrt(y))))), y)",(x*(2*x + 0.186547581061776*I) + sqrt(y)*sqrt(x*(sqrt(x) + y*(x + y))/y**(3/2)))/sqrt(y)
8,49,31.316549771677263,32,7,2.166395664215088,"add(add(x, protectedDiv(add(x, protectedSqrt(x)), mul(protectedDiv(add(protectedSqrt(y), x), protectedSqrt(y)), y))), mul(protectedDiv(add(x, x), protectedSqrt(y)), protectedSqrt(add(protectedDiv(add(x, x), 0.2666), x))))",(5.83159513987973*x**(3/2)*sqrt(y)*(x + sqrt(y)) + x*y*(x + sqrt(y)) + sqrt(y)*(sqrt(x) + x))/(y*(x + sqrt(y)))
9,50,87.1894738514734,10,4,1.8589727878570557,"protectedSqrt(mul(protectedDiv(x, 0.0299), protectedDiv(mul(x, x), y)))",5.7831493196624*sqrt(x**3/y)
10,51,162.64533235239463,10,4,1.957594871520996,"protectedDiv(mul(x, add(add(0.5968, x), x)), protectedSqrt(y))",x*(2*x + 0.5968)/sqrt(y)
11,52,1521.5237367501284,23,8,1.6241428852081299,"protectedDiv(protectedSqrt(sub(y, sub(protectedDiv(mul(x, x), add(x, add(neg(x), neg(y)))), y))), protectedDiv(protectedSin(protectedSqrt(protectedSin(x))), x))",x*sqrt(x**2/y + 2*y)/sin(sqrt(sin(x)))
12,53,223.58379686484534,62,9,2.8083317279815674,"add(neg(neg(mul(protectedDiv(add(x, sub(y, y)), add(y, y)), sub(add(x, y), add(-0.2737, -0.876))))), neg(sub(add(mul(protectedSqrt(protectedDiv(x, mul(protectedSin(-0.3911), neg(y)))), protectedSin(neg(protectedDiv(x, x)))), sub(y, mul(x, x))), protectedDiv(protectedDiv(sub(x, sub(x, protectedSqrt(y))), add(y, x)), neg(protectedDiv(x, mul(protectedSqrt(x), mul(x, y))))))))",(-2*sqrt(x)*y**(5/2) + x*(x + y)*(x + y + 1.1497) + y*(x + y)*(2.0*x**2 - 2.0*y + 3.23929401298539*sqrt(x/y)*sin(1)))/(2*y*(x + y))
13,54,20.838135399781194,22,7,2.29036545753479,"mul(add(x, x), mul(protectedSqrt(protectedDiv(add(protectedSqrt(mul(x, 0.3295)), 0.7901), y)), protectedSqrt(add(add(add(x, x), x), x))))",4*x**(3/2)*sqrt((0.574020905542647*sqrt(x) + 0.7901)/y)
14,55,8.457270733491082,12,6,1.8389787673950195,"sub(sub(x, protectedDiv(protectedDiv(x, protectedSqrt(protectedDiv(y, x))), -0.1632)), x)",6.12745098039216*x/sqrt(y/x)
15,56,1002.7362388369969,9,4,1.6245207786560059,"mul(add(mul(protectedDiv(x, y), 0.4165), x), x)",x**2*(y + 0.4165)/y
16,57,88.7269432804879,17,5,2.515253782272339,"add(add(protectedDiv(protectedSqrt(add(x, x)), y), protectedDiv(mul(x, add(x, x)), protectedSqrt(y))), x)",sqrt(2)*sqrt(x)/y + 2*x**2/sqrt(y) + x
17,58,227.03864382382625,15,8,1.9704768657684326,"mul(x, add(protectedDiv(protectedSqrt(add(x, protectedDiv(x, protectedSqrt(sub(y, -0.1176))))), y), x))",x**2 + x*sqrt(x + x/sqrt(y + 0.1176))/y
18,59,34.27453204774046,35,9,2.5357370376586914,"add(protectedSqrt(mul(mul(protectedDiv(mul(x, add(add(neg(x), x), protectedSqrt(x))), y), add(x, add(x, add(0.7292, x)))), sub(add(add(add(x, add(protectedSqrt(x), x)), x), x), y))), x)",x + sqrt(x**(3/2)*(3*x + 0.7292)*(sqrt(x) + 4*x - y)/y)
19,60,244.6342040788725,17,6,1.9131653308868408,"add(mul(add(protectedDiv(protectedDiv(x, y), protectedSqrt(protectedSqrt(x))), x), x), protectedDiv(x, add(y, x)))",x*(y + (x**(3/4) + x*y)*(x + y))/(y*(x + y))
20,61,327.01187053149226,21,5,1.81062912940979,"add(protectedDiv(mul(x, protectedDiv(x, y)), x), add(mul(x, x), mul(protectedDiv(protectedDiv(x, y), x), protectedDiv(x, 0.2817))))",x*(x*y + 4.5498757543486)/y
21,62,214.2530203296166,13,5,1.904364824295044,"protectedDiv(sub(protectedDiv(0.0979, y), neg(mul(add(x, x), x))), protectedSqrt(y))",(2*x**2*y + 0.0979)/y**(3/2)
22,63,187.3581237378951,15,6,2.22568678855896,"mul(x, add(protectedDiv(protectedSqrt(protectedDiv(add(x, x), 0.7101)), y), add(protectedSin(y), x)))",x*(1.67824453451975*sqrt(x) + y*(x + sin(y)))/y
23,64,315.44492344584455,13,5,1.704514980316162,"add(protectedDiv(x, y), mul(add(mul(x, protectedDiv(0.518, y)), x), x))",x*(x*(y + 0.518) + 1)/y
24,65,1843.6594684228708,16,6,1.6616287231445312,"add(y, add(protectedDiv(add(x, -0.7283), mul(0.8419, add(mul(-0.7797, y), y))), neg(-0.9015)))",(5.39169098364231*x + y*(y + 0.9015) - 3.92676854338669)/y
25,66,177.9859504352401,10,5,2.260854482650757,"mul(x, protectedSqrt(mul(protectedDiv(protectedDiv(x, y), 0.2285), x)))",2.09197696327652*x*sqrt(x**2/y)
26,67,497.28166123201464,16,4,1.6787662506103516,"sub(mul(x, protectedDiv(x, add(y, y))), sub(protectedSin(mul(y, -0.7336)), mul(x, x)))",x**2 + x**2/(2*y) + sin(0.7336*y)
27,68,338.45536240565553,13,4,1.87908935546875,"add(mul(protectedDiv(mul(x, 0.2938), y), add(x, x)), mul(x, x))",x**2*(y + 0.5876)/y
28,69,176.28868327237183,24,7,2.170100688934326,"mul(add(protectedDiv(protectedSqrt(add(add(x, x), add(protectedSqrt(y), x))), y), protectedSqrt(add(add(x, add(add(x, x), x)), x))), x)",sqrt(5)*x**(3/2) + x*sqrt(3*x + sqrt(y))/y
29,70,235.99575585478124,8,3,2.359780788421631,"mul(add(x, x), protectedDiv(x, protectedSqrt(y)))",2*x**2/sqrt(y)
30,71,163.8405331051194,14,5,1.8212556838989258,"add(protectedDiv(x, x), protectedDiv(mul(add(add(x, x), 0.46), x), protectedSqrt(y)))",(x*(2*x + 0.46) + sqrt(y))/sqrt(y)
