run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,1.6486840879295894,109,16,10.876556396484375,"sub(mul(mul(0.4024, x), sub(-0.1871, sub(protectedSqrt(protectedSin(protectedSqrt(mul(add(x, y), protectedDiv(mul(mul(neg(y), protectedSqrt(mul(neg(mul(protectedSqrt(-0.2827), x)), y))), y), x))))), add(mul(y, y), add(protectedSqrt(mul(add(mul(y, y), mul(mul(-0.9227, y), protectedSin(protectedSqrt(-0.9454)))), protectedDiv(mul(mul(mul(y, 0.0717), protectedSqrt(x)), y), x))), add(protectedSin(protectedSin(sub(y, protectedDiv(y, x)))), y)))))), protectedSqrt(add(protectedSqrt(mul(add(-0.6178, y), protectedDiv(mul(mul(neg(mul(-0.6178, protectedSin(protectedSqrt(-0.9454)))), protectedSqrt(mul(mul(-0.6178, mul(-0.6178, y)), y))), add(sub(x, 0.9383), y)), sub(y, protectedDiv(y, x))))), add(protectedSin(protectedSin(sub(y, protectedSqrt(0.4024)))), y))))",0.4024*x*(-0.1871-(sqrt(protectedSin(sqrt((x+y)*(-y*sqrt(-(sqrt(-0.2827)*x)*y)*y/x))))-(y**2+(sqrt((y**2+-0.9227*y*protectedSin(sqrt(-0.9454)))*(y*0.0717*sqrt(x)*y/x))+(protectedSin(protectedSin(y-y/x))+y)))))-sqrt(sqrt((-0.6178+y)*(-(-0.6178*protectedSin(sqrt(-0.9454)))*sqrt(-0.6178*(-0.6178*y)*y)*(x-0.9383+y)/(y-y/x)))+(protectedSin(protectedSin(y-sqrt(0.4024)))+y))
2,43,11.662490236566114,120,17,8.768179893493652,"sub(mul(mul(protectedSqrt(neg(mul(add(y, y), x))), y), protectedSqrt(protectedSqrt(neg(mul(protectedSqrt(neg(mul(mul(add(y, y), x), sub(mul(-0.7517, y), sub(-0.121, protectedSqrt(protectedSqrt(neg(mul(add(y, add(y, y)), mul(-0.7517, y)))))))))), mul(sub(x, protectedSqrt(x)), protectedDiv(y, y))))))), protectedDiv(add(add(neg(protectedSqrt(neg(mul(add(y, y), mul(-0.7517, y))))), y), mul(y, x)), protectedSqrt(protectedSqrt(neg(mul(add(protectedSqrt(neg(mul(neg(mul(mul(sub(x, add(sub(-0.121, protectedSqrt(x)), y)), protectedDiv(y, y)), protectedSqrt(sub(-0.121, x)))), sub(x, add(sub(add(y, y), protectedSqrt(x)), neg(0.3079)))))), y), protectedSqrt(neg(mul(add(y, y), add(neg(protectedSqrt(neg(mul(add(y, y), x)))), y))))))))))",sqrt(-((y+y)*x))*y*sqrt(sqrt(-(sqrt(-((y+y)*x*(-0.7517*y-(-0.121-sqrt(sqrt(-((y+(y+y))*(-0.7517*y))))))))*((x-sqrt(x))*(y/y)))))-(-(sqrt(-((y+y)*(-0.7517*y))))+y+y*x)/sqrt(sqrt(-((sqrt(-(-((x-(-0.121-sqrt(x)+y))*(y/y)*sqrt(-0.121-x))*(x-(y+y-sqrt(x)+-0.3079))))+y)*sqrt(-((y+y)*(-(sqrt(-((y+y)*x)))+y))))))
3,44,12.596333894904978,208,16,15.335988759994507,"sub(sub(protectedSin(mul(protectedDiv(neg(protectedSin(neg(mul(neg(protectedDiv(0.5356, -0.2904)), 0.1403)))), neg(x)), protectedSin(protectedSin(neg(x))))), sub(add(neg(protectedDiv(0.5356, -0.2904)), sub(protectedSin(add(protectedSin(neg(protectedSin(mul(y, y)))), sub(protectedSin(neg(protectedSin(0.8408))), neg(mul(mul(add(sub(-0.7265, y), mul(y, y)), protectedSin(-0.7878)), sub(-0.7878, x)))))), sub(sub(protectedSin(mul(protectedDiv(neg(sub(0.1403, x)), protectedSqrt(0.8408)), protectedSin(mul(y, y)))), sub(add(neg(protectedDiv(0.5356, 0.5894)), add(mul(0.5894, y), add(0.8527, add(0.8527, protectedSin(add(x, x)))))), mul(sub(-0.7878, x), 0.1403))), mul(x, protectedDiv(protectedDiv(-0.6402, y), neg(sub(protectedSin(add(mul(0.5894, y), add(protectedDiv(protectedSqrt(mul(-0.6916, y)), neg(x)), add(0.8527, protectedSin(0.5356))))), neg(mul(mul(add(sub(-0.7265, y), mul(y, y)), protectedSin(0.5356)), sub(-0.7878, x)))))))))), sub(add(neg(protectedDiv(0.5356, protectedDiv(0.5356, -0.2904))), add(-0.0773, add(x, x))), mul(add(sub(-0.7265, y), mul(y, y)), 0.0571)))), add(add(neg(x), add(y, protectedSin(add(mul(0.5894, y), add(0.8527, add(0.8527, protectedSin(protectedDiv(add(protectedSin(x), neg(sub(-0.7878, x))), mul(-0.6093, x))))))))), sub(protectedSin(add(mul(0.5894, y), add(0.8527, add(0.8527, 0.1403)))), neg(mul(mul(add(sub(-0.7265, y), mul(y, y)), protectedSin(0.5356)), sub(-0.7878, x))))))",protectedSin(-(protectedSin(-(-(0.5356/-0.2904)*0.1403)))/-x*protectedSin(protectedSin(-x)))-(-(0.5356/-0.2904)+(protectedSin(protectedSin(-(protectedSin(y**2)))+(protectedSin(-(protectedSin(0.8408)))--((-0.7265-y+y**2)*protectedSin(-0.7878)*(-0.7878-x))))-(protectedSin(-(0.1403-x)/sqrt(0.8408)*protectedSin(y**2))-(-(0.5356/0.5894)+(0.5894*y+(0.8527+(0.8527+protectedSin(x+x))))-(-0.7878-x)*0.1403)-x*(-0.6402/y/-(protectedSin(0.5894*y+(sqrt(-0.6916*y)/-x+(0.8527+protectedSin(0.5356))))--((-0.7265-y+y**2)*protectedSin(0.5356)*(-0.7878-x))))))-(-(0.5356/(0.5356/-0.2904))+(-0.0773+(x+x))-(-0.7265-y+y**2)*0.0571))-(-x+(y+protectedSin(0.5894*y+(0.8527+(0.8527+protectedSin((protectedSin(x)+-(-0.7878-x))/(-0.6093*x))))))+(protectedSin(0.5894*y+(0.8527+(0.8527+0.1403)))--((-0.7265-y+y**2)*protectedSin(0.5356)*(-0.7878-x))))
4,45,1.82771428973979,82,15,10.060144662857056,"neg(neg(sub(protectedDiv(add(add(protectedSqrt(x), neg(mul(protectedSqrt(y), mul(x, y)))), mul(y, x)), add(neg(protectedSin(-0.9968)), protectedSqrt(add(add(y, neg(protectedSqrt(x))), neg(mul(protectedSqrt(add(add(x, neg(mul(protectedSqrt(y), mul(x, y)))), mul(y, x))), x)))))), mul(neg(mul(y, protectedSqrt(add(add(protectedSqrt(add(add(x, neg(mul(protectedSqrt(y), mul(x, y)))), mul(y, x))), neg(mul(protectedSqrt(y), mul(x, y)))), mul(y, x))))), add(neg(-0.4363), protectedSqrt(x))))))",-(-((sqrt(x)+-(sqrt(y)*(x*y))+y*x)/(-(protectedSin(-0.9968))+sqrt(y+-(sqrt(x))+-(sqrt(x+-(sqrt(y)*(x*y))+y*x)*x)))--(y*sqrt(sqrt(x+-(sqrt(y)*(x*y))+y*x)+-(sqrt(y)*(x*y))+y*x))*(--0.4363+sqrt(x))))
5,46,0.14642310367598255,95,16,8.21777081489563,"mul(mul(sub(protectedDiv(mul(0.4498, mul(x, y)), mul(y, mul(0.4498, sub(protectedDiv(add(protectedDiv(sub(protectedDiv(add(protectedSqrt(0.6343), x), mul(y, 0.4745)), sub(protectedDiv(add(protectedSqrt(0.6343), x), mul(-0.2019, y)), add(protectedSqrt(add(add(x, 0.4498), y)), y))), x), 0.1831), add(protectedDiv(mul(x, y), add(mul(x, mul(sub(protectedDiv(x, mul(y, x)), add(protectedDiv(0.1831, x), y)), y)), protectedSqrt(y))), protectedSqrt(0.6343))), sub(0.4498, sub(protectedDiv(add(x, x), y), sub(protectedDiv(protectedSqrt(x), mul(-0.2019, y)), add(protectedSqrt(x), y)))))))), neg(x)), y), mul(y, 0.4745))",(0.4498*(x*y)/(y*(0.4498*((((sqrt(0.6343)+x)/(y*0.4745)-((sqrt(0.6343)+x)/(-0.2019*y)-(sqrt(x+0.4498+y)+y)))/x+0.1831)/(x*y/(x*((x/(y*x)-(0.1831/x+y))*y)+sqrt(y))+sqrt(0.6343))-(0.4498-((x+x)/y-(sqrt(x)/(-0.2019*y)-(sqrt(x)+y)))))))--x)*y*(y*0.4745)
6,47,0.006134557315260083,66,11,10.007918119430542,"sub(neg(protectedSin(protectedSin(add(0.3458, protectedSin(mul(y, 0.0251)))))), mul(mul(sub(-0.2536, mul(mul(0.3458, y), mul(x, y))), neg(sub(neg(0.8644), protectedDiv(y, y)))), add(mul(protectedSqrt(sub(x, x)), sub(protectedSqrt(sub(x, x)), mul(sub(mul(protectedSqrt(-0.3077), add(y, sub(y, protectedDiv(y, y)))), mul(mul(x, y), add(neg(-0.8194), add(x, 0.8205)))), protectedDiv(y, y)))), protectedSqrt(0.6026))))",-(protectedSin(protectedSin(0.3458+protectedSin(y*0.0251))))-(-0.2536-0.3458*y*(x*y))*-(-0.8644-y/y)*(sqrt(x-x)*(sqrt(x-x)-(sqrt(-0.3077)*(y+(y-y/y))-x*y*(--0.8194+(x+0.8205)))*(y/y))+sqrt(0.6026))
7,48,0.012922699189499514,77,17,9.71398663520813,"add(add(x, mul(add(protectedSqrt(mul(mul(0.6371, add(0.6371, mul(mul(x, add(0.5422, mul(mul(mul(x, add(0.6371, mul(mul(y, y), protectedSin(-0.1941)))), protectedSin(0.6371)), protectedSin(-0.1941)))), protectedSin(0.5422)))), mul(0.5536, mul(add(protectedSqrt(y), sub(-0.1941, add(0.5422, add(sub(sub(x, 0.0042), x), y)))), 0.5376)))), sub(0.5422, add(protectedSin(-0.1941), add(protectedSqrt(add(y, 0.6205)), y)))), 0.5376)), sub(mul(y, add(0.6371, mul(mul(x, y), protectedSin(protectedSin(0.5422))))), x))",x+(sqrt(0.6371*(0.6371+x*(0.5422+x*(0.6371+y**2*protectedSin(-0.1941))*protectedSin(0.6371)*protectedSin(-0.1941))*protectedSin(0.5422))*(0.5536*((sqrt(y)+(-0.1941-(0.5422+(x-0.0042-x+y))))*0.5376)))+(0.5422-(protectedSin(-0.1941)+(sqrt(y+0.6205)+y))))*0.5376+(y*(0.6371+x*y*protectedSin(protectedSin(0.5422)))-x)
8,49,31.25697448040895,66,17,6.7398841381073,"mul(protectedSqrt(neg(add(neg(protectedSqrt(mul(protectedSqrt(-0.1173), x))), x))), add(mul(add(y, x), sub(y, 0.847)), neg(add(mul(protectedSin(add(sub(protectedSqrt(sub(add(sub(protectedSqrt(sub(mul(sub(-0.1173, 0.847), protectedSqrt(add(y, x))), add(y, x))), mul(protectedSqrt(-0.1173), x)), protectedSqrt(neg(x))), mul(protectedSqrt(protectedSqrt(protectedSqrt(-0.1173))), add(y, x)))), mul(protectedSqrt(-0.1173), x)), protectedSqrt(neg(y)))), x), y))))",sqrt(-(-(sqrt(sqrt(-0.1173)*x))+x))*((y+x)*(y-0.847)+-(protectedSin(sqrt(sqrt((-0.1173-0.847)*sqrt(y+x)-(y+x))-sqrt(-0.1173)*x+sqrt(-x)-sqrt(sqrt(sqrt(-0.1173)))*(y+x))-sqrt(-0.1173)*x+sqrt(-y))*x+y))
9,50,1.2513591857536512,48,15,8.907923698425293,"mul(neg(sub(neg(mul(x, y)), protectedSqrt(add(x, mul(protectedSqrt(protectedDiv(neg(sub(protectedSqrt(mul(-0.4555, sub(-0.6946, sub(y, mul(y, x))))), mul(x, y))), y)), neg(mul(x, y))))))), mul(protectedDiv(neg(protectedSin(-0.4555)), x), sub(protectedSin(-0.4555), sub(protectedSqrt(x), mul(y, x)))))",-(-(x*y)-sqrt(x+sqrt(-(sqrt(-0.4555*(-0.6946-(y-y*x)))-x*y)/y)*-(x*y)))*(-(protectedSin(-0.4555))/x*(protectedSin(-0.4555)-(sqrt(x)-y*x)))
10,51,0.11351917071462159,69,15,7.909812688827515,"protectedSqrt(mul(mul(x, mul(neg(mul(protectedSqrt(neg(y)), add(neg(mul(y, sub(sub(0.6324, -0.9113), y))), mul(add(y, protectedDiv(sub(0.6324, protectedSqrt(mul(mul(y, y), add(mul(y, y), y)))), add(sub(sub(sub(x, -0.9113), y), mul(x, y)), mul(neg(mul(y, y)), y)))), 0.7315)))), neg(neg(sub(sub(protectedSqrt(mul(protectedSqrt(y), add(neg(mul(y, y)), 0.6324))), -0.9113), y))))), x))",sqrt(x*(-(sqrt(-y)*(-(y*(0.6324--0.9113-y))+(y+(0.6324-sqrt(y**2*(y**2+y)))/(x--0.9113-y-x*y+-(y**2)*y))*0.7315))*-(-(sqrt(sqrt(y)*(-(y**2)+0.6324))--0.9113-y)))*x)
