run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,0.08848592602795506,7,3,1.6190993785858154,"sub(-0.569, add(protectedDiv(x, -0.099), x))",9.1010101010101*x - 0.569
2,43,7.32916751433782,23,5,1.6530215740203857,"neg(protectedDiv(mul(add(add(x, x), protectedSqrt(x)), protectedDiv(neg(x), neg(x))), add(neg(protectedDiv(-0.2347, -0.4321)), protectedSqrt(mul(-0.6918, -0.1206)))))",3.93210175531714*sqrt(x) + 7.86420351063427*x
3,44,0.1734787494163244,9,3,1.4835731983184814,"sub(0.5022, add(protectedDiv(x, -0.1982), protectedDiv(x, -0.254)))",8.98241655211867*x + 0.5022
4,45,0.013006455366260421,7,3,1.621607780456543,"add(x, protectedDiv(protectedDiv(x, 0.2514), 0.496))",9.0196063335643*x
5,46,0.018962732137506856,10,3,1.632120132446289,"sub(protectedDiv(protectedDiv(x, 0.5524), protectedSin(0.828)), protectedDiv(x, -0.1523))",9.02367376677389*x
6,47,0.0015340078749554234,7,3,1.660783290863037,"add(x, protectedDiv(protectedDiv(x, 0.9788), 0.1276))",9.00673334247169*x
7,48,0.04808351309284988,14,5,1.8100354671478271,"sub(protectedSqrt(x), sub(protectedDiv(0.115, 0.1774), protectedDiv(protectedDiv(x, protectedDiv(x, x)), 0.115)))",sqrt(x) + 8.69565217391304*x - 0.648252536640361
8,49,0.0005946689874114715,9,4,1.8346202373504639,"sub(sub(neg(x), protectedDiv(x, protectedSin(-0.091))), x)",9.00419232125227*x
9,50,1.0,27,9,1.9319486618041992,"add(add(add(x, x), x), mul(add(protectedDiv(add(x, add(add(x, add(protectedDiv(x, x), x)), x)), x), protectedDiv(add(x, x), x)), x))",9*x + 1
10,51,1.275892889832981,25,5,1.5850856304168701,"mul(add(protectedDiv(sub(protectedSqrt(0.5412), protectedSqrt(-0.7055)), mul(0.3045, mul(0.6417, -0.2095))), protectedDiv(0.8747, 0.783)), add(x, protectedSqrt(mul(neg(x), protectedDiv(x, 0.508)))))",-(16.8540223178211 - 20.5184781194463*I)*(x + 1.40303383316578*sqrt(-x**2))
11,52,0.0004979648659654079,9,3,1.6224770545959473,"add(add(x, mul(0.2442, 0.0809)), protectedDiv(x, 0.1251))",8.99360511590728*x + 0.01975578
12,53,23.02824873634936,20,6,1.7905805110931396,"add(mul(add(protectedSqrt(x), add(protectedSqrt(x), protectedSqrt(protectedSqrt(x)))), x), add(protectedSqrt(x), add(x, protectedSqrt(protectedSqrt(x)))))",x**(5/4) + x**(1/4) + 2*x**(3/2) + sqrt(x) + x
13,54,5.015971321121335,9,4,1.65238356590271,"add(x, add(protectedDiv(add(-0.4376, x), 0.1144), 0.7433))",9.74125874125874*x - 3.08187482517483
14,55,3.1877869179981084e-29,8,3,1.585172176361084,"sub(neg(x), protectedDiv(neg(x), protectedSqrt(0.01)))",9.0*x
15,56,0.14678040319813626,13,4,1.675508975982666,"sub(add(protectedDiv(neg(x), -0.0763), neg(add(x, x))), protectedDiv(x, 0.4604))",8.93413556847826*x
16,57,5.113800575054006,13,5,1.6113831996917725,"add(x, add(mul(protectedDiv(sub(x, -0.6852), 0.1606), protectedDiv(x, x)), x))",8.2266500622665*x + 4.26650062266501
17,58,0.0016546041371213835,7,3,1.6932311058044434,"add(add(protectedDiv(x, 0.143), x), x)",8.99300699300699*x
18,59,0.15974284226601404,10,3,1.6593878269195557,"add(add(mul(-0.8359, 0.7164), protectedSqrt(x)), protectedDiv(x, 0.1156))",sqrt(x) + 8.65051903114187*x - 0.59883876
19,60,0.05102837213686476,7,3,1.604139804840088,"add(x, mul(protectedDiv(-0.984, -0.1236), x))",8.96116504854369*x
20,61,0.41929357661939365,12,4,1.7637863159179688,"sub(add(protectedSqrt(add(x, x)), add(x, x)), protectedDiv(x, -0.1552))",sqrt(2)*sqrt(x) + 8.44329896907217*x
21,62,0.002019381453664635,10,4,2.2383387088775635,"sub(x, sub(protectedDiv(x, neg(0.7661)), protectedDiv(x, 0.1492)))",9.00772549100577*x
22,63,0.47894713350526064,5,2,1.6423630714416504,"protectedDiv(add(0.0684, x), 0.1136)",8.80281690140845*x + 0.602112676056338
23,64,0.015988652571709505,7,2,1.7810285091400146,"add(protectedDiv(x, 0.1286), protectedDiv(x, 0.8318))",8.97826183692769*x
24,65,0.0,5,2,1.898876667022705,"add(x, protectedDiv(x, 0.125))",9.0*x
25,66,0.02387286501044014,9,4,1.690173625946045,"add(add(x, protectedDiv(protectedDiv(x, 0.989), 0.1439)), x)",9.0265625142727*x
26,67,0.01272961411266212,11,4,1.5063490867614746,"add(mul(x, protectedDiv(mul(x, -0.7406), mul(x, -0.0928))), x)",8.98060344827586*x
27,68,0.7413344306045676,10,3,1.4991905689239502,"add(protectedSqrt(0.2728), sub(protectedDiv(x, 0.088), protectedDiv(x, 0.4347)))",9.06319928059059*x + 0.522302594288024
28,69,0.010204050004084591,6,2,1.5566270351409912,"mul(protectedDiv(0.6231, -0.0691), neg(x))",9.01736613603473*x
29,70,0.05122117286176549,9,3,1.574960708618164,"add(mul(-0.4147, x), mul(0.0917, protectedDiv(x, 0.0097)))",9.03890824742268*x
30,71,0.3577199653681107,7,3,1.6365330219268799,"add(mul(protectedDiv(-0.8038, -0.0992), x), x)",9.10282258064516*x
