run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,0.0017275761845737926,114,17,9.597970962524414,"mul(add(mul(0.1407, protectedDiv(sub(-0.1123, protectedDiv(protectedSin(0.6839), protectedSqrt(add(protectedDiv(sub(-0.1123, neg(protectedDiv(sub(z, sub(-0.1123, 0.1407)), z))), mul(0.1407, protectedDiv(sub(-0.1123, protectedDiv(protectedSin(z), x)), z))), protectedDiv(-0.1123, sub(-0.1123, 0.4951)))))), y)), neg(protectedDiv(sub(mul(-0.1123, protectedDiv(protectedSqrt(protectedSqrt(0.1468)), add(mul(0.1407, protectedSqrt(add(protectedDiv(sub(0.1407, neg(protectedDiv(sub(z, sub(-0.1123, 0.1407)), z))), z), protectedDiv(mul(protectedDiv(sub(-0.1123, y), z), 0.4951), sub(-0.1123, y))))), neg(protectedDiv(sub(-0.1123, y), z))))), y), z))), add(mul(-0.1123, protectedDiv(protectedSin(protectedDiv(0.1407, x)), add(mul(protectedSin(0.6839), z), neg(mul(protectedDiv(sub(-0.1123, y), z), 0.4951))))), protectedSqrt(protectedDiv(neg(x), mul(protectedDiv(z, x), z)))))",(0.1407*((-0.1123-protectedSin(0.6839)/sqrt((-0.1123--((z-(-0.1123-0.1407))/z))/(0.1407*((-0.1123-protectedSin(z)/x)/z))+-0.1123/(-0.1123-0.4951)))/y)+-((-0.1123*(sqrt(sqrt(0.1468))/(0.1407*sqrt((0.1407--((z-(-0.1123-0.1407))/z))/z+(-0.1123-y)/z*0.4951/(-0.1123-y))+-((-0.1123-y)/z)))-y)/z))*(-0.1123*(protectedSin(0.1407/x)/(protectedSin(0.6839)*z+-((-0.1123-y)/z*0.4951)))+sqrt(-x/(z/x*z)))
2,43,9.164294491711182e-31,7,3,5.8168182373046875,"protectedDiv(protectedDiv(y, protectedDiv(z, x)), z)",y/(z/x)/z
3,44,1.522003002054855e-30,7,2,6.023661375045776,"mul(protectedDiv(y, z), protectedDiv(x, z))",y/z*(x/z)
4,45,5.2018843583842505e-30,33,11,8.213176250457764,"add(mul(protectedDiv(protectedDiv(y, z), z), x), protectedSqrt(mul(protectedDiv(-0.384, add(z, x)), neg(mul(-0.2116, mul(protectedDiv(mul(x, 0.9529), z), neg(mul(-0.2116, protectedSin(protectedDiv(sub(z, z), z))))))))))",y/z/z*x+sqrt(-0.384/(z+x)*-(-0.2116*(x*0.9529/z*-(-0.2116*protectedSin((z-z)/z)))))
5,46,2.9621622569534823e-31,11,5,6.051433086395264,"mul(protectedDiv(y, protectedDiv(z, protectedDiv(protectedDiv(y, y), z))), x)",y/(z/(y/y/z))*x
6,47,9.633092923564879e-31,7,3,6.1741087436676025,"mul(protectedDiv(x, mul(z, z)), y)",x/z**2*y
7,48,9.357699656825985e-30,75,13,10.631572484970093,"sub(protectedDiv(protectedDiv(mul(mul(protectedDiv(protectedDiv(z, z), z), y), y), protectedDiv(z, x)), y), mul(protectedSin(add(mul(protectedDiv(mul(protectedSin(add(mul(mul(protectedDiv(y, z), protectedDiv(add(z, z), y)), 0.2196), add(z, y))), add(neg(protectedDiv(z, z)), protectedDiv(z, protectedDiv(y, z)))), z), y), add(z, protectedDiv(protectedDiv(z, x), protectedDiv(protectedDiv(mul(protectedDiv(z, z), y), protectedDiv(z, x)), y))))), add(neg(protectedDiv(z, z)), protectedDiv(z, z))))",z/z/z*y*y/(z/x)/y-protectedSin(protectedSin(y/z*((z+z)/y)*0.2196+(z+y))*(-(z/z)+z/(y/z))/z*y+(z+z/x/(z/z*y/(z/x)/y)))*(-(z/z)+z/z)
8,49,9.633092923564879e-31,14,6,7.4020819664001465,"add(protectedSqrt(sub(z, z)), mul(protectedDiv(x, neg(neg(mul(z, z)))), y))",sqrt(z-z)+x/-(-(z**2))*y
9,50,1.9419705484578788e-30,15,4,10.557527542114258,"add(protectedDiv(mul(protectedDiv(x, z), y), z), protectedSqrt(protectedDiv(sub(z, z), protectedSqrt(y))))",x/z*y/z+sqrt((z-z)/sqrt(y))
10,51,1.522003002054855e-30,7,2,10.043074131011963,"mul(protectedDiv(y, z), protectedDiv(x, z))",y/z*(x/z)
