run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,0.0,5,2,1.445631980895996,"mul(neg(x), neg(y))",x*y
2,43,0.0,7,2,1.4664247035980225,"protectedDiv(mul(y, x), protectedDiv(x, x))",x*y
3,44,0.0,13,4,1.4711802005767822,"sub(protectedSin(sub(mul(y, x), mul(y, x))), mul(neg(x), y))",x*y
4,45,0.0,7,2,1.4080450534820557,"add(sub(x, x), mul(y, x))",x*y
5,46,0.0,3,1,1.4588220119476318,"mul(x, y)",x*y
6,47,0.0,3,1,1.4680380821228027,"mul(y, x)",x*y
7,48,0.0,3,1,1.4376111030578613,"mul(x, y)",x*y
8,49,0.0,5,3,1.4761908054351807,"neg(neg(mul(y, x)))",x*y
9,50,0.0,7,3,1.4591755867004395,"mul(protectedDiv(y, protectedDiv(x, x)), x)",x*y
10,51,0.0,3,1,1.4581091403961182,"mul(y, x)",x*y
11,52,0.0,5,2,1.5104498863220215,"mul(neg(y), neg(x))",x*y
12,53,0.0,3,1,1.537571668624878,"mul(x, y)",x*y
13,54,0.0,5,3,1.451432228088379,"neg(neg(mul(x, y)))",x*y
14,55,0.0,3,1,1.4641928672790527,"mul(y, x)",x*y
15,56,0.0,11,3,1.5062565803527832,"add(protectedDiv(sub(y, y), add(x, y)), mul(y, x))",x*y
16,57,0.0,7,2,1.4096002578735352,"sub(mul(y, x), sub(y, y))",x*y
17,58,0.0,5,3,1.4719507694244385,"mul(y, neg(neg(x)))",x*y
18,59,0.0,3,1,1.461928367614746,"mul(x, y)",x*y
19,60,0.0,5,3,1.4425427913665771,"neg(mul(neg(x), y))",x*y
20,61,0.0,7,2,1.4128782749176025,"protectedDiv(mul(y, x), protectedDiv(y, y))",x*y
21,62,0.0,5,2,1.4878942966461182,"mul(neg(y), neg(x))",x*y
22,63,0.0,3,1,1.4484164714813232,"mul(x, y)",x*y
23,64,0.0,3,1,1.4231085777282715,"mul(y, x)",x*y
24,65,0.0,5,3,1.4399383068084717,"neg(neg(mul(x, y)))",x*y
25,66,0.0,3,1,1.4838674068450928,"mul(x, y)",x*y
26,67,0.0,3,1,1.418292760848999,"mul(x, y)",x*y
27,68,0.0,7,2,1.5288176536560059,"add(mul(x, y), sub(x, x))",x*y
28,69,0.0,7,2,1.5304253101348877,"add(sub(x, x), mul(x, y))",x*y
29,70,0.0,3,1,1.448744773864746,"mul(x, y)",x*y
30,71,0.0,3,1,1.4768435955047607,"mul(x, y)",x*y
