run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,simplified_expr
1,42,0.0001227159909939864,79,17,3.7263214588165283,"sub(protectedSqrt(add(x, add(protectedExp(-0.5853), add(mul(x, x), -0.1724)))), cos(mul(sin(-0.8066), protectedSqrt(add(add(x, add(protectedExp(protectedLog(protectedSqrt(add(protectedSqrt(add(mul(x, x), -0.1724)), add(cos(sub(mul(add(protectedExp(x), x), mul(-0.2733, -0.1724)), cos(sub(mul(x, x), protectedDiv(x, x))))), x))))), x)), protectedExp(neg(add(protectedSqrt(add(-0.6043, protectedExp(protectedExp(sub(mul(add(protectedExp(-0.1724), x), mul(-0.2733, -0.1724)), cos(sub(mul(x, x), protectedDiv(x, x)))))))), protectedSqrt(x)))))))))",sqrt(x**2 + x + 0.3845) - cos(0.7219*sqrt(2*x + sqrt(x + sqrt(x**2 - 0.1724) + cos(0.0471*x + 0.0471*exp(x) - cos(x**2 - 1))) + exp(-sqrt(x) - sqrt(exp(1.0405*exp(0.0471*x - cos(x**2 - 1))) - 0.6043))))
2,43,2.454945639624304e-05,105,17,4.848010778427124,"protectedExp(protectedLog(add(add(add(neg(0.9411), protectedDiv(x, -0.804)), neg(protectedLog(0.4906))), protectedDiv(protectedDiv(0.4906, protectedSqrt(protectedSqrt(mul(add(0.7589, add(protectedExp(x), protectedDiv(protectedSqrt(0.201), protectedSqrt(0.5592)))), 0.7589)))), add(protectedDiv(protectedDiv(protectedSqrt(protectedDiv(protectedSqrt(0.4906), protectedSqrt(mul(add(x, 0.5873), 0.7589)))), protectedSqrt(mul(add(protectedExp(x), protectedSqrt(protectedExp(x))), 0.7589))), add(protectedExp(x), mul(add(protectedLog(0.4906), protectedDiv(protectedSqrt(protectedDiv(protectedSqrt(0.7589), protectedSqrt(mul(add(add(mul(x, 0.5592), x), 0.201), 0.7589)))), protectedSqrt(mul(add(protectedExp(x), protectedSqrt(protectedExp(0.5873))), protectedSqrt(protectedExp(x)))))), x))), protectedSqrt(protectedExp(mul(add(mul(add(mul(x, mul(x, mul(x, 0.5592))), add(x, x)), 0.7589), x), x))))))))",-1.2438*x - 0.229 + 0.4906/((0.7589*exp(x) + 1.0309)**(1/4)*(sqrt(exp(x*(0.4244*x**3 + 2.5178*x))) - 0.8369/((0.7589*x + 0.4457)**(1/4)*(x*(0.7121 - 0.9334/(sqrt((exp(x) + 1.3413)*sqrt(exp(x)))*(1.1833*x + 0.1525)**(1/4))) - exp(x))*sqrt(0.7589*sqrt(exp(x)) + 0.7589*exp(x)))))
3,44,1.3355432489994603e-05,44,17,2.805420398712158,"protectedSqrt(mul(mul(protectedSqrt(sin(sin(x))), add(add(add(x, mul(mul(mul(neg(0.028), x), cos(protectedExp(add(x, mul(mul(mul(neg(0.028), x), cos(protectedExp(add(x, neg(0.028))))), protectedSqrt(protectedExp(0.3248))))))), protectedSqrt(protectedExp(0.3248)))), x), cos(protectedExp(0.3248)))), x))",sqrt(x*(-0.0329*x*cos(exp(x*(1.0 - 0.0329*cos(0.9724*exp(x))))) + 2*x + 0.186)*sqrt(sin(sin(x))))
4,45,3.046556142774488e-05,63,17,3.2930850982666016,"mul(protectedSqrt(sub(protectedSqrt(sub(protectedSqrt(neg(add(sub(protectedSqrt(protectedDiv(protectedDiv(sin(cos(protectedLog(protectedSqrt(x)))), protectedDiv(protectedSqrt(add(mul(protectedSqrt(-0.6643), neg(x)), neg(protectedSqrt(-0.6643)))), -0.8755)), mul(protectedSqrt(protectedLog(protectedSqrt(x))), neg(x)))), -0.363), protectedExp(-0.5654)))), mul(sin(add(protectedDiv(protectedLog(protectedSqrt(x)), protectedSqrt(add(sub(sub(x, x), protectedSqrt(x)), neg(x)))), x)), -0.4842))), mul(sin(x), -0.6018))), x)",x*sqrt(sqrt(sqrt(-0.9848*2**(1/4)*sqrt(sin(cos(log(x)/2))/(x*sqrt(-I*(x + 1))*sqrt(log(x)))) - 0.9311) + 0.4842*sin(x + log(x)/(2*sqrt(-sqrt(x) - x)))) + 0.6018*sin(x))
5,46,6.18896601250452e-07,63,17,2.6428580284118652,"add(x, sin(mul(sin(sin(add(x, protectedSqrt(mul(sin(sin(x)), sin(mul(neg(sin(add(x, protectedSqrt(mul(x, sin(x)))))), sin(mul(sin(x), sin(0.0042)))))))))), mul(0.4951, add(x, protectedSqrt(mul(neg(sin(sin(sin(sin(add(x, protectedSqrt(mul(neg(sin(x)), sin(0.0042))))))))), sin(mul(neg(sin(add(x, protectedSqrt(mul(x, sin(x)))))), sin(0.0042))))))))))",x + sin(0.4951*(x + sqrt(sin(0.0042*sin(x + sqrt(x*sin(x))))*sin(sin(sin(sin(x + 0.0648*sqrt(-sin(x))))))))*sin(sin(x + sqrt(-sin(sin(x + sqrt(x*sin(x)))*sin(0.0042*sin(x)))*sin(sin(x))))))
6,47,6.626827471707283e-05,85,16,3.1699960231781006,"add(mul(0.4927, protectedSqrt(mul(sub(x, mul(mul(0.4927, mul(x, mul(x, mul(0.1121, add(sub(x, x), x))))), x)), mul(protectedSqrt(mul(sub(sub(x, -0.4315), neg(sub(cos(protectedLog(x)), sub(-0.603, sin(protectedLog(x)))))), mul(0.4927, x))), mul(0.4927, protectedSqrt(mul(sub(sub(protectedSqrt(mul(protectedSqrt(protectedSqrt(mul(protectedSqrt(x), mul(x, x)))), mul(x, -0.603))), -0.4315), neg(sub(cos(mul(-0.3172, mul(mul(add(x, x), -0.351), mul(mul(x, -0.4315), x)))), neg(protectedLog(x))))), mul(0.4927, x)))))))), x)",x + 0.2428*sqrt(sqrt(x*(x + sin(log(x)) + cos(log(x)) + 1.0345))*sqrt(x*(0.7765*sqrt(-x*(x**(5/2))**(1/4)) + log(x) + cos(0.0961*x**3) + 0.4315))*(-0.0552*x**4 + x))
7,48,0.00017786685271777282,106,16,4.137644290924072,"protectedSqrt(mul(mul(cos(neg(mul(sin(neg(mul(sin(protectedDiv(sin(protectedDiv(protectedLog(neg(sin(x))), protectedSqrt(protectedExp(x)))), protectedSqrt(protectedExp(x)))), protectedLog(x)))), protectedSqrt(cos(x))))), neg(sin(x))), neg(add(protectedExp(x), neg(mul(mul(sin(cos(x)), protectedSqrt(sin(add(protectedDiv(sin(sub(x, cos(x))), mul(sub(0.7616, cos(x)), protectedDiv(sub(x, x), cos(0.7616)))), cos(sin(protectedDiv(protectedLog(x), cos(cos(x))))))))), protectedSqrt(sin(add(protectedDiv(sin(sub(mul(cos(cos(x)), x), cos(x))), mul(sub(mul(neg(x), neg(sub(x, x))), cos(x)), protectedDiv(sub(x, x), -0.3349))), cos(sin(protectedDiv(protectedLog(x), cos(cos(x))))))))))))))",sqrt((exp(x) - sqrt(sin(zoo*sin(x + cos(x)) + cos(sin(log(x)/cos(cos(x))))))*sqrt(sin(zoo*sin(x*cos(cos(x)) + cos(x)) + cos(sin(log(x)/cos(cos(x))))))*sin(cos(x)))*sin(x)*cos(sin(log(x)*sin(sin(log(-sin(x))/sqrt(exp(x)))/sqrt(exp(x))))*sqrt(cos(x))))
8,49,2.8387379999657044e-05,49,17,2.971040964126587,"mul(x, protectedSqrt(add(sub(protectedSqrt(sin(x)), protectedLog(0.9007)), protectedSqrt(cos(cos(protectedDiv(cos(protectedLog(x)), protectedSqrt(add(sub(protectedSqrt(sub(sub(sub(protectedSqrt(sub(sin(x), protectedLog(0.9007))), protectedLog(0.9007)), protectedSqrt(protectedExp(x))), protectedSqrt(protectedLog(mul(protectedSqrt(x), 0.9007))))), protectedLog(cos(protectedSqrt(protectedLog(x))))), protectedSqrt(protectedLog(x)))))))))))",x*sqrt(sqrt(sin(x)) + sqrt(cos(cos(cos(log(x))/sqrt(sqrt(-sqrt(log(x)/2 - 0.1046) + sqrt(sin(x) + 0.1046) - sqrt(exp(x)) + 0.1046) + sqrt(log(x)) - log(cos(sqrt(log(x)))))))) + 0.1046)
9,50,8.869623090114714e-06,58,17,3.711364507675171,"sub(add(cos(protectedExp(-0.3678)), sin(add(-0.874, x))), sub(sub(mul(x, protectedSqrt(add(0.7363, -0.9366))), x), protectedDiv(neg(x), protectedExp(sub(protectedSqrt(add(add(mul(x, protectedSqrt(cos(x))), protectedSqrt(add(sin(add(sub(mul(x, protectedSqrt(cos(x))), x), x)), protectedLog(neg(sub(protectedExp(-0.371), sin(cos(sin(neg(x)))))))))), sin(x))), neg(protectedSqrt(x)))))))",x - 0.4475*I*x - x*exp(-sqrt(x))*exp(-sqrt(x*sqrt(cos(x)) + sqrt(log(sin(cos(sin(x))) - 0.69) + sin(x*sqrt(cos(x)))) + sin(x))) + sin(x - 0.874) + 0.7698
10,51,0.0005845937787497276,10,8,1.484260082244873,"protectedDiv(x, cos(cos(cos(cos(cos(sin(sin(x))))))))",x/cos(cos(cos(cos(cos(sin(sin(x)))))))
11,52,0.0005028194480693195,117,16,3.452014923095703,"protectedDiv(protectedSqrt(mul(add(add(mul(protectedSqrt(add(x, add(protectedLog(add(x, mul(add(x, x), x))), mul(protectedSqrt(x), protectedDiv(add(x, protectedSqrt(sub(x, protectedDiv(add(x, x), x)))), neg(x)))))), -0.0499), x), x), add(mul(protectedSqrt(protectedSqrt(add(add(mul(protectedSqrt(protectedSqrt(protectedLog(neg(x)))), -0.0499), x), add(protectedLog(add(x, mul(add(-0.0499, x), x))), mul(protectedSqrt(sub(x, mul(x, -0.0499))), protectedDiv(add(x, x), neg(x))))))), -0.0499), x))), protectedDiv(x, mul(protectedSqrt(sub(x, x)), protectedDiv(add(x, add(protectedLog(add(x, mul(add(x, x), x))), mul(protectedSqrt(sub(x, protectedSqrt(protectedDiv(x, -0.8825)))), protectedDiv(add(x, protectedSqrt(sub(x, protectedDiv(add(x, x), x)))), neg(x))))), neg(x)))))",0
12,53,0.00017703541878850033,88,17,3.5918281078338623,"sub(mul(x, add(0.5146, cos(0.5146))), mul(protectedLog(sin(sub(sub(protectedSqrt(sub(mul(x, add(mul(protectedLog(sin(protectedLog(mul(-0.1763, 0.3102)))), mul(sub(protectedSqrt(x), sin(protectedSqrt(x))), 0.8366)), protectedExp(mul(protectedLog(protectedExp(sin(protectedLog(mul(-0.1763, 0.3102))))), mul(-0.1682, protectedSqrt(x)))))), protectedLog(sin(sin(protectedExp(0.5155)))))), x), x))), neg(mul(protectedLog(sin(protectedExp(0.5155))), protectedDiv(protectedExp(sin(protectedSqrt(mul(x, add(0.5146, cos(mul(protectedLog(sin(protectedLog(mul(-0.1763, 0.3102)))), mul(sub(protectedSqrt(x), sin(x)), 0.8366)))))))), protectedDiv(mul(protectedLog(0.3102), sin(-0.2094)), -0.6783))))))",1.3851*x + 0.015*exp(sin(sqrt(x*(cos((0.8366*sqrt(x) - 0.8366*sin(x))*log(-sin(2.9061 - I*pi))) + 0.5146))))*log(-sin(2*x - sqrt(x*((0.8366*sqrt(x) - 0.8366*sin(sqrt(x)))*log(-sin(2.9061 - I*pi)) + exp(-0.1682*sqrt(x)*log(exp(-sin(2.9061 - I*pi))))) + 0.1761)))
13,54,2.49872214430354e-05,30,17,2.1569366455078125,"sub(x, sin(sin(sin(mul(x, sub(0.5932, protectedSqrt(protectedDiv(mul(x, cos(sin(mul(mul(x, sin(mul(x, sub(protectedSqrt(x), x)))), 0.1844)))), protectedSqrt(mul(0.984, x))))))))))",x + sin(sin(sin(x*(1.004*sqrt(sqrt(x)*cos(sin(0.1844*x*sin(x*(sqrt(x) - x))))) - 0.5932))))
