run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,0.3297074073510435,4,2,1.4835057258605957,"protectedSin(add(y, y))",sin(2*y)
2,43,0.3276866952110584,5,3,1.78236722946167,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
3,44,0.3276866952110584,5,3,1.575549602508545,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
4,45,0.3297074073510435,4,2,1.4921603202819824,"protectedSin(add(y, y))",sin(2*y)
5,46,0.326719250159741,15,7,1.7761962413787842,"protectedSin(add(add(neg(0.2187), add(neg(0.0389), add(protectedSqrt(mul(0.0241, x)), y))), y))",sin(0.1552417469626*sqrt(x) + 2*y - 0.2576)
6,47,0.3297074073510435,4,2,1.692298173904419,"protectedSin(add(y, y))",sin(2*y)
7,48,0.3276866952110584,5,3,1.4726994037628174,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
8,49,0.3276866952110584,5,3,1.5240097045898438,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
9,50,0.3276866952110584,7,5,1.6078095436096191,"neg(protectedSin(protectedSin(neg(add(y, y)))))",sin(sin(2*y))
10,51,0.3276866952110584,5,3,1.5802860260009766,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
11,52,0.3276866952110584,5,3,1.6242821216583252,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
12,53,0.3276866952110584,5,3,1.557471752166748,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
13,54,0.3297074073510435,4,2,1.5274338722229004,"protectedSin(add(y, y))",sin(2*y)
14,55,0.14098234295731998,11,7,1.5693159103393555,"mul(protectedSqrt(x), protectedSin(protectedSin(protectedSin(protectedSin(protectedSin(add(y, y)))))))",sqrt(x)*sin(sin(sin(sin(sin(2*y)))))
15,56,0.3276866952110584,5,3,1.6200168132781982,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
16,57,0.3297074073510435,4,2,1.780367136001587,"protectedSin(add(y, y))",sin(2*y)
17,58,0.2815049047977897,60,9,1.4307599067687988,"mul(mul(protectedSin(mul(protectedDiv(-0.1619, -0.7908), protectedDiv(x, y))), protectedSin(add(protectedDiv(0.3195, -0.2643), add(add(mul(protectedSin(add(y, x)), mul(protectedDiv(0.8562, x), mul(-0.0309, y))), protectedSqrt(sub(protectedDiv(y, 0.1721), sub(x, x)))), y)))), add(add(protectedSin(-0.3606), sub(x, mul(protectedSqrt(-0.9086), protectedSqrt(x)))), protectedSqrt(add(protectedSin(-0.3606), sub(x, mul(protectedSqrt(-0.9086), protectedSqrt(x)))))))",(-0.953205119583398*I*sqrt(x) + x + sqrt(-0.953205119583398*I*sqrt(x) + x - 0.352835707926244) - 0.352835707926244)*sin((x*(2.41051348200948*sqrt(y) + y - 1.20885357548241) - 0.02645658*y*sin(x + y))/x)*sin(0.204729387961558*x/y)
18,59,0.3276801262706929,7,4,1.5842087268829346,"protectedSin(protectedSin(add(add(y, -0.0082), y)))",sin(sin(2*y - 0.0082))
19,60,0.3276866952110584,5,3,1.5717287063598633,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
20,61,0.3297074073510435,4,2,1.4425852298736572,"protectedSin(add(y, y))",sin(2*y)
21,62,0.3297074073510435,6,4,1.6657710075378418,"protectedSin(add(y, neg(neg(y))))",sin(2*y)
22,63,0.3276866952110584,5,3,1.576059341430664,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
23,64,0.3297074073510435,4,2,1.3546833992004395,"protectedSin(add(y, y))",sin(2*y)
24,65,0.3276866952110584,5,3,1.4748167991638184,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
25,66,0.07953872139052455,11,4,1.7150282859802246,"mul(protectedSqrt(mul(x, mul(0.2454, x))), protectedSin(add(y, y)))",0.495378643060033*sqrt(x**2)*sin(2*y)
26,67,0.3276866952110584,5,3,1.6822352409362793,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
27,68,0.3276866952110584,5,3,1.5454044342041016,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
28,69,0.3297074073510435,4,2,1.565044641494751,"protectedSin(add(y, y))",sin(2*y)
29,70,0.3297074073510435,4,2,1.7511975765228271,"protectedSin(add(y, y))",sin(2*y)
30,71,0.3276866952110584,5,3,1.5901286602020264,"protectedSin(protectedSin(add(y, y)))",sin(sin(2*y))
