run,seed,best_fitness,best_size,best_depth,elapsed_seconds,best_expr,algebraic_expr
1,42,620.4128584135401,70,16,7.711605548858643,"mul(mul(add(add(protectedDiv(y, mul(y, sub(neg(sub(0.7762, sub(protectedSqrt(protectedDiv(y, x)), protectedDiv(mul(mul(y, y), sub(y, x)), sub(sub(0.7762, 0.5014), sub(neg(protectedSqrt(protectedDiv(y, 0.0664))), y)))))), y))), y), add(y, sub(add(y, protectedSqrt(protectedSqrt(mul(0.0952, y)))), sub(neg(protectedSqrt(protectedDiv(y, 0.0664))), y)))), x), mul(mul(add(y, protectedDiv(y, mul(y, sub(neg(0.4075), y)))), y), y))",(y/(y*(-(0.7762-(sqrt(y/x)-y**2*(y-x)/(0.7762-0.5014-(-(sqrt(y/0.0664))-y))))-y))+y+(y+(y+sqrt(sqrt(0.0952*y))-(-(sqrt(y/0.0664))-y))))*x*((y+y/(y*(-0.4075-y)))*y*y)
2,43,45.35415846026382,53,11,8.391525506973267,"mul(sub(x, sub(sub(mul(add(protectedDiv(y, protectedDiv(protectedSqrt(-0.1002), add(y, y))), protectedDiv(protectedSqrt(add(protectedDiv(protectedSqrt(y), -0.1002), protectedDiv(protectedDiv(y, -0.1002), mul(y, y)))), add(y, y))), x), x), protectedSin(add(protectedDiv(y, -0.1002), protectedDiv(protectedSqrt(mul(y, x)), add(y, -0.0719)))))), neg(mul(0.9086, mul(y, y))))",(x-((y/(sqrt(-0.1002)/(y+y))+sqrt(sqrt(y)/-0.1002+y/-0.1002/y**2)/(y+y))*x-x-protectedSin(y/-0.1002+sqrt(y*x)/(y+-0.0719))))*-(0.9086*y**2)
3,44,24492.46140518036,17,5,7.690759181976318,"mul(mul(protectedDiv(y, neg(neg(0.3997))), protectedDiv(neg(y), neg(0.4582))), mul(x, mul(y, y)))",y/-(-0.3997)*(-y/-0.4582)*(x*y**2)
4,45,27367.999766187844,59,13,9.2736337184906,"mul(mul(protectedSqrt(sub(protectedDiv(mul(neg(x), neg(mul(y, x))), protectedSqrt(add(add(sub(0.7386, protectedDiv(mul(neg(x), sub(x, y)), protectedSqrt(protectedSin(mul(y, x))))), add(y, y)), sub(protectedDiv(protectedDiv(y, 0.1839), protectedSqrt(protectedSin(sub(0.7386, y)))), mul(y, y))))), mul(neg(mul(y, x)), x))), mul(add(y, y), protectedDiv(y, 0.1839))), y)",sqrt(-x*-(y*x)/sqrt(0.7386--x*(x-y)/sqrt(protectedSin(y*x))+(y+y)+(y/0.1839/sqrt(protectedSin(0.7386-y))-y**2))--(y*x)*x)*((y+y)*(y/0.1839))*y
5,46,110985.30565362138,188,15,14.003912687301636,"add(sub(sub(mul(mul(x, x), add(y, protectedSin(0.5976))), add(mul(mul(x, x), sub(y, protectedDiv(protectedDiv(mul(add(sub(mul(mul(x, x), sub(y, -0.15)), 0.5976), mul(mul(x, x), sub(y, -0.15))), sub(y, -0.15)), mul(mul(neg(mul(neg(y), x)), x), protectedDiv(protectedDiv(x, y), sub(-0.0899, 0.889)))), protectedSqrt(mul(neg(protectedDiv(protectedDiv(protectedSin(0.8752), y), protectedSqrt(mul(x, x)))), x))))), protectedSin(x))), add(sub(protectedDiv(add(y, y), mul(neg(-0.0943), x)), add(-0.8596, protectedSqrt(mul(mul(mul(y, sub(protectedSqrt(y), protectedSin(sub(y, protectedSqrt(-0.8975))))), add(sub(y, mul(add(sub(mul(mul(x, x), sub(y, -0.15)), y), mul(mul(x, x), sub(y, -0.15))), sub(y, -0.15))), protectedSin(x))), add(sub(mul(add(mul(neg(mul(neg(y), x)), protectedSqrt(sub(y, 0.7105))), mul(neg(mul(neg(y), x)), mul(neg(y), x))), sub(y, -0.15)), -0.8975), mul(mul(neg(mul(neg(y), x)), x), -0.15)))))), protectedSin(x))), mul(neg(add(add(y, y), neg(0.5579))), protectedDiv(sub(protectedSqrt(sub(y, 0.7105)), protectedSin(sub(y, protectedSqrt(-0.8975)))), protectedDiv(add(-0.0058, sub(x, x)), protectedSqrt(x)))))",x**2*(y+protectedSin(0.5976))-(x**2*(y-(x**2*(y--0.15)-0.5976+x**2*(y--0.15))*(y--0.15)/(-(-y*x)*x*(x/y/(-0.0899-0.889)))/sqrt(-(protectedSin(0.8752)/y/sqrt(x**2))*x))+protectedSin(x))-((y+y)/(--0.0943*x)-(-0.8596+sqrt(y*(sqrt(y)-protectedSin(y-sqrt(-0.8975)))*(y-(x**2*(y--0.15)-y+x**2*(y--0.15))*(y--0.15)+protectedSin(x))*((-(-y*x)*sqrt(y-0.7105)+-(-y*x)*(-y*x))*(y--0.15)--0.8975+-(-y*x)*x*-0.15)))+protectedSin(x))+-(y+y+-0.5579)*((sqrt(y-0.7105)-protectedSin(y-sqrt(-0.8975)))/((-0.0058+(x-x))/sqrt(x)))
6,47,2373.7206165427833,46,13,7.5064356327056885,"mul(mul(y, y), add(sub(add(sub(mul(add(add(add(x, mul(add(y, protectedSin(add(y, -0.7972))), y)), protectedSin(x)), y), mul(x, y)), mul(x, x)), protectedSqrt(x)), protectedSqrt(sub(mul(protectedSqrt(protectedDiv(-0.7972, protectedSin(neg(mul(y, y))))), y), y))), y))",y**2*((x+(y+protectedSin(y+-0.7972))*y+protectedSin(x)+y)*(x*y)-x**2+sqrt(x)-sqrt(sqrt(-0.7972/protectedSin(-(y**2)))*y-y)+y)
7,48,34742.63249524657,27,6,12.170685768127441,"mul(mul(neg(mul(y, protectedDiv(mul(x, y), 0.0855))), mul(protectedSin(protectedSin(-0.6719)), add(protectedSqrt(protectedSin(y)), protectedSqrt(y)))), protectedDiv(y, add(protectedDiv(0.2108, y), 0.76)))",-(y*(x*y/0.0855))*(protectedSin(protectedSin(-0.6719))*(sqrt(protectedSin(y))+sqrt(y)))*(y/(0.2108/y+0.76))
8,49,110.40585881978456,138,17,10.69890308380127,"add(add(protectedSqrt(neg(add(protectedDiv(x, y), protectedDiv(neg(y), protectedDiv(x, y))))), add(neg(add(add(protectedSqrt(protectedSqrt(protectedSqrt(mul(x, mul(x, y))))), protectedDiv(protectedSqrt(mul(y, protectedDiv(protectedSqrt(x), add(0.0709, neg(add(protectedSqrt(neg(0.4027)), protectedDiv(neg(y), protectedDiv(x, protectedDiv(protectedSqrt(-0.335), add(0.0709, 0.5932)))))))))), add(0.0709, 0.5932))), y)), neg(add(protectedSqrt(add(protectedSqrt(protectedSqrt(mul(x, protectedSqrt(protectedDiv(y, -0.5256))))), add(protectedSqrt(add(mul(0.0563, mul(y, y)), protectedSqrt(-0.335))), add(protectedSqrt(neg(0.0563)), protectedDiv(protectedSqrt(x), add(0.0709, neg(add(protectedSqrt(neg(0.4027)), protectedDiv(neg(y), protectedDiv(x, protectedDiv(protectedSqrt(-0.335), add(0.0709, 0.5932)))))))))))), mul(x, x))))), mul(protectedDiv(mul(neg(add(add(protectedSqrt(neg(0.0563)), protectedDiv(protectedSqrt(-0.335), add(0.0709, 0.5932))), y)), neg(protectedSqrt(neg(protectedSqrt(protectedDiv(y, -0.5256)))))), 0.4027), mul(mul(x, mul(y, y)), sub(y, -0.3253))))",sqrt(-(x/y+-y/(x/y)))+(-(sqrt(sqrt(sqrt(x*(x*y))))+sqrt(y*(sqrt(x)/(0.0709+-(sqrt(-0.4027)+-y/(x/(sqrt(-0.335)/(0.0709+0.5932)))))))/(0.0709+0.5932)+y)+-(sqrt(sqrt(sqrt(x*sqrt(y/-0.5256)))+(sqrt(0.0563*y**2+sqrt(-0.335))+(sqrt(-0.0563)+sqrt(x)/(0.0709+-(sqrt(-0.4027)+-y/(x/(sqrt(-0.335)/(0.0709+0.5932))))))))+x**2))+-(sqrt(-0.0563)+sqrt(-0.335)/(0.0709+0.5932)+y)*-(sqrt(-(sqrt(y/-0.5256))))/0.4027*(x*y**2*(y--0.3253))
9,50,216.63817630091512,97,12,10.805463552474976,"sub(protectedSin(sub(add(0.8396, x), add(protectedDiv(protectedDiv(neg(protectedSin(0.5952)), 0.8247), neg(sub(0.8396, sub(neg(sub(neg(mul(x, y)), sub(0.8247, y))), sub(0.8247, y))))), protectedSqrt(x)))), mul(neg(neg(sub(sub(mul(y, protectedDiv(y, 0.1309)), mul(y, y)), neg(add(protectedSin(add(protectedSin(add(y, 0.8247)), protectedSqrt(mul(x, x)))), add(protectedSin(add(y, -0.6857)), protectedSqrt(mul(x, x)))))))), sub(add(sub(protectedSin(y), mul(mul(x, y), y)), sub(neg(sub(neg(mul(x, y)), sub(0.8247, y))), sub(0.8247, y))), add(protectedSin(add(y, -0.6857)), protectedSqrt(mul(x, x))))))",protectedSin(0.8396+x-(-(protectedSin(0.5952))/0.8247/-(0.8396-(-(-(x*y)-(0.8247-y))-(0.8247-y)))+sqrt(x)))--(-(y*(y/0.1309)-y**2--(protectedSin(protectedSin(y+0.8247)+sqrt(x**2))+(protectedSin(y+-0.6857)+sqrt(x**2)))))*(protectedSin(y)-x*y*y+(-(-(x*y)-(0.8247-y))-(0.8247-y))-(protectedSin(y+-0.6857)+sqrt(x**2)))
10,51,8362.053596474241,120,16,9.239269971847534,"add(sub(mul(y, protectedSqrt(add(add(mul(mul(protectedSin(0.0187), mul(y, mul(y, protectedDiv(protectedSqrt(0.6074), mul(protectedSin(0.1127), 0.0187))))), y), mul(y, protectedDiv(protectedSqrt(0.6074), mul(protectedSin(0.1127), 0.0187)))), mul(x, protectedDiv(protectedSqrt(protectedSqrt(y)), mul(protectedSin(0.0187), 0.0187)))))), 0.26), sub(mul(mul(add(mul(x, y), neg(0.5877)), mul(protectedSqrt(protectedSqrt(add(neg(sub(mul(y, mul(add(sub(y, 0.0187), 0.1127), y)), protectedSqrt(0.26))), mul(y, protectedDiv(protectedSqrt(0.6074), mul(protectedSin(0.1127), 0.0187)))))), add(sub(y, 0.0187), neg(0.5877)))), sub(mul(y, y), protectedSqrt(protectedDiv(0.1943, mul(add(add(mul(x, y), y), x), mul(sub(mul(y, protectedSqrt(add(mul(y, y), mul(y, protectedDiv(y, mul(protectedSin(0.1127), 0.0187)))))), 0.26), y)))))), protectedSin(0.0187)))",y*sqrt(protectedSin(0.0187)*(y*(y*(sqrt(0.6074)/(protectedSin(0.1127)*0.0187))))*y+y*(sqrt(0.6074)/(protectedSin(0.1127)*0.0187))+x*(sqrt(sqrt(y))/(protectedSin(0.0187)*0.0187)))-0.26+((x*y+-0.5877)*(sqrt(sqrt(-(y*((y-0.0187+0.1127)*y)-sqrt(0.26))+y*(sqrt(0.6074)/(protectedSin(0.1127)*0.0187))))*(y-0.0187+-0.5877))*(y**2-sqrt(0.1943/((x*y+y+x)*((y*sqrt(y**2+y*(y/(protectedSin(0.1127)*0.0187)))-0.26)*y))))-protectedSin(0.0187))
